,Data,Localauthority_Code,Localauthority_ItemName_ENG,Localauthority_SortOrder,Localauthority_Hierarchy,Localauthority_AltCode1,Measure_Code,Measure_ItemName_ENG,Measure_SortOrder,Measure_Hierarchy,Measure_ItemNotes_ENG,Year_Code,Year_ItemName_ENG,Year_SortOrder,RowKey,PartitionKey
11,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1992,Mid-year 1992,992,0000000000000011,
12,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1997,Mid-year 1997,997,0000000000000012,
13,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2010,Mid-year 2010,1010,0000000000000013,
14,69833.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2010,Mid-year 2010,1010,0000000000000014,
15,98.124143,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2010,Mid-year 2010,1010,0000000000000015,
16,69916.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2008,Mid-year 2008,1008,0000000000000016,
17,67806.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2001,Mid-year 2001,1001,0000000000000017,
18,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2009,Mid-year 2009,1009,0000000000000018,
19,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2008,Mid-year 2008,1008,0000000000000019,
20,98.240769,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2008,Mid-year 2008,1008,0000000000000020,
21,97.498862,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2006,Mid-year 2006,1006,0000000000000021,
22,67898.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2000,Mid-year 2000,1000,0000000000000022,
23,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2018,Mid-year 2018,1018,0000000000000023,
24,98.303999,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2018,Mid-year 2018,1018,0000000000000024,
25,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2017,Mid-year 2017,1017,0000000000000025,
26,97.216432,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1994,Mid-year 1994,994,0000000000000026,
27,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2016,Mid-year 2016,1016,0000000000000027,
28,69187.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1994,Mid-year 1994,994,0000000000000028,
29,69123.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1991,Mid-year 1991,991,0000000000000029,
30,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1998,Mid-year 1998,998,0000000000000030,
31,67692.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1998,Mid-year 1998,998,0000000000000031,
32,95.115769,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1998,Mid-year 1998,998,0000000000000032,
33,98.195805,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2009,Mid-year 2009,1009,0000000000000033,
34,69884.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2009,Mid-year 2009,1009,0000000000000034,
35,69961.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2018,Mid-year 2018,1018,0000000000000035,
36,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2002,Mid-year 2002,1002,0000000000000036,
37,96.380382,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1996,Mid-year 1996,996,0000000000000037,
38,97.486216,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1992,Mid-year 1992,992,0000000000000038,
39,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1999,Mid-year 1999,999,0000000000000039,
40,67879.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2002,Mid-year 2002,1002,0000000000000040,
41,95.517635,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1999,Mid-year 1999,999,0000000000000041,
42,97.08716,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2005,Mid-year 2005,1005,0000000000000042,
43,98.410789,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2012,Mid-year 2012,1012,0000000000000043,
44,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2005,Mid-year 2005,1005,0000000000000044,
45,70037.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2012,Mid-year 2012,1012,0000000000000045,
46,67978.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1999,Mid-year 1999,999,0000000000000046,
47,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2014,Mid-year 2014,1014,0000000000000047,
48,98.556922,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2014,Mid-year 2014,1014,0000000000000048,
49,70141.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2014,Mid-year 2014,1014,0000000000000049,
50,70073.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2013,Mid-year 2013,1013,0000000000000050,
51,98.461373,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2013,Mid-year 2013,1013,0000000000000051,
52,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2013,Mid-year 2013,1013,0000000000000052,
53,69095.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2005,Mid-year 2005,1005,0000000000000053,
54,95.378528,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2002,Mid-year 2002,1002,0000000000000054,
55,97.888082,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2016,Mid-year 2016,1016,0000000000000055,
56,69665.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2016,Mid-year 2016,1016,0000000000000056,
57,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1996,Mid-year 1996,996,0000000000000057,
58,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2011,Mid-year 2011,1011,0000000000000058,
59,69913.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2011,Mid-year 2011,1011,0000000000000059,
60,98.236553,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2011,Mid-year 2011,1011,0000000000000060,
61,69379.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1992,Mid-year 1992,992,0000000000000061,
62,96.606607,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2004,Mid-year 2004,1004,0000000000000062,
63,68426.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1995,Mid-year 1995,995,0000000000000063,
64,98.03843,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,1993,Mid-year 1993,993,0000000000000064,
65,69772.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,1993,Mid-year 1993,993,0000000000000065,
66,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1993,Mid-year 1993,993,0000000000000066,
67,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2015,Mid-year 2015,1015,0000000000000067,
68,98.268871,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2015,Mid-year 2015,1015,0000000000000068,
69,69936.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2015,Mid-year 2015,1015,0000000000000069,
70,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2012,Mid-year 2012,1012,0000000000000070,
71,68753.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2004,Mid-year 2004,1004,0000000000000071,
72,98.41922,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2019,Mid-year 2019,1019,0000000000000072,
73,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1991,Mid-year 1991,991,0000000000000073,
74,69388.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2006,Mid-year 2006,1006,0000000000000074,
75,95.745265,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2003,Mid-year 2003,1003,0000000000000075,
76,68140.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2003,Mid-year 2003,1003,0000000000000076,
77,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2006,Mid-year 2006,1006,0000000000000077,
78,70043.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2019,Mid-year 2019,1019,0000000000000078,
79,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2003,Mid-year 2003,1003,0000000000000079,
80,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2019,Mid-year 2019,1019,0000000000000080,
81,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2000,Mid-year 2000,1000,0000000000000081,
82,97.937261,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2007,Mid-year 2007,1007,0000000000000082,
83,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2007,Mid-year 2007,1007,0000000000000083,
84,69700.0,W06000001,Isle of Anglesey,401,W92000004,W06000001,Pop,Population,2,Dens,Mid-year estimates of the population,2007,Mid-year 2007,1007,0000000000000084,
85,95.405225,W06000001,Isle of Anglesey,401,W92000004,W06000001,Dens,Population density,1,,Persons per square kilometre,2000,Mid-year 2000,1000,0000000000000085,
86,711.6801,W06000001,Isle of Anglesey,401,W92000004,W06000001,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1994,Mid-year 1994,994,0000000000000086,
87,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2019,Mid-year 2019,1019,0000000000000087,
88,122007.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2012,Mid-year 2012,1012,0000000000000088,
89,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2006,Mid-year 2006,1006,0000000000000089,
90,46.397618,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,1997,Mid-year 1997,997,0000000000000090,
91,49.141092,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2019,Mid-year 2019,1019,0000000000000091,
92,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1993,Mid-year 1993,993,0000000000000092,
93,45.652374,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,1993,Mid-year 1993,993,0000000000000093,
94,123742.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2017,Mid-year 2017,1017,0000000000000094,
95,48.818377,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2017,Mid-year 2017,1017,0000000000000095,
96,46.975191,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2006,Mid-year 2006,1006,0000000000000096,
97,47.477807,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2009,Mid-year 2009,1009,0000000000000097,
98,48.381646,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2015,Mid-year 2015,1015,0000000000000098,
99,122635.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2015,Mid-year 2015,1015,0000000000000099,
100,117606.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,1997,Mid-year 1997,997,0000000000000100,
101,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2015,Mid-year 2015,1015,0000000000000101,
102,46.096996,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2001,Mid-year 2001,1001,0000000000000102,
103,119070.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2006,Mid-year 2006,1006,0000000000000103,
104,46.350276,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,1996,Mid-year 1996,996,0000000000000104,
105,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2017,Mid-year 2017,1017,0000000000000105,
106,123323.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2016,Mid-year 2016,1016,0000000000000106,
107,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1996,Mid-year 1996,996,0000000000000107,
108,118022.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2003,Mid-year 2003,1003,0000000000000108,
109,46.561737,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2003,Mid-year 2003,1003,0000000000000109,
110,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2003,Mid-year 2003,1003,0000000000000110,
111,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2010,Mid-year 2010,1010,0000000000000111,
112,47.79776,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2010,Mid-year 2010,1010,0000000000000112,
113,124560.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2019,Mid-year 2019,1019,0000000000000113,
114,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2000,Mid-year 2000,1000,0000000000000114,
115,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2016,Mid-year 2016,1016,0000000000000115,
116,116844.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2001,Mid-year 2001,1001,0000000000000116,
117,48.653074,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2016,Mid-year 2016,1016,0000000000000117,
118,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2008,Mid-year 2008,1008,0000000000000118,
119,46.837505,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2004,Mid-year 2004,1004,0000000000000119,
120,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2001,Mid-year 2001,1001,0000000000000120,
121,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2004,Mid-year 2004,1004,0000000000000121,
122,46.039791,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2000,Mid-year 2000,1000,0000000000000122,
123,118721.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2004,Mid-year 2004,1004,0000000000000123,
124,116699.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2000,Mid-year 2000,1000,0000000000000124,
125,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1997,Mid-year 1997,997,0000000000000125,
126,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1995,Mid-year 1995,995,0000000000000126,
127,121523.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2011,Mid-year 2011,1011,0000000000000127,
128,46.366056,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,1995,Mid-year 1995,995,0000000000000128,
129,117526.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,1995,Mid-year 1995,995,0000000000000129,
130,117486.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,1996,Mid-year 1996,996,0000000000000130,
131,47.942943,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2011,Mid-year 2011,1011,0000000000000131,
132,120344.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2009,Mid-year 2009,1009,0000000000000132,
133,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2011,Mid-year 2011,1011,0000000000000133,
134,48.133889,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2012,Mid-year 2012,1012,0000000000000134,
135,121155.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2010,Mid-year 2010,1010,0000000000000135,
136,48.990386,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2018,Mid-year 2018,1018,0000000000000136,
137,115007.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,1991,Mid-year 1991,991,0000000000000137,
138,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2005,Mid-year 2005,1005,0000000000000138,
139,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),1991,Mid-year 1991,991,0000000000000139,
140,119398.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2007,Mid-year 2007,1007,0000000000000140,
141,118641.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,2005,Mid-year 2005,1005,0000000000000141,
142,116330.0,W06000002,Gwynedd,402,W92000004,W06000002,Pop,Population,2,Dens,Mid-year estimates of the population,1994,Mid-year 1994,994,0000000000000142,
143,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2018,Mid-year 2018,1018,0000000000000143,
144,46.805943,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2005,Mid-year 2005,1005,0000000000000144,
145,45.894214,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,1994,Mid-year 1994,994,0000000000000145,
146,45.372267,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,1991,Mid-year 1991,991,0000000000000146,
147,2534.7422,W06000002,Gwynedd,402,W92000004,W06000002,Area,Land area,3,Dens,Latest standard area measurements for the area at mean high water mark in square kilometres (excluding areas of inland water as recommended by the Office for National Statistics),2012,Mid-year 2012,1012,0000000000000147,
148,47.104593,W06000002,Gwynedd,402,W92000004,W06000002,Dens,Population density,1,,Persons per square kilometre,2007,Mid-year 2007,1007,0000000000000148,
